"Name","Wikipedia_Title","Wikipedia_URL","Image_URL","Birthdate","Height","Position","Nationality","Age"
"Mir Saeid Marouflakrani","Saeid Marouf","https://en.wikipedia.org/wiki/Saeid_Marouf","https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Saeid_Marouf_in_World_Olympic_qualification_tournaments_2016.jpg/500px-Saeid_Marouf_in_World_Olympic_qualification_tournaments_2016.jpg","20/10/1985","189 cm","Setter","Iran","39"
"Leon Wilfredo","Wilfredo León","https://en.wikipedia.org/wiki/Wilfredo_Le%C3%B3n","https://upload.wikimedia.org/wikipedia/commons/f/f0/20240701_Wilfredo_Leon.jpg","31/07/1993","201 cm","Outside Hitter","Poland","31"
"Bartosz Kurek","Bartosz Kurek","https://en.wikipedia.org/wiki/Bartosz_Kurek","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Bartosz_Kurek_%282018%29.JPG/500px-Bartosz_Kurek_%282018%29.JPG","29/08/1988","207 cm","Outside Hitter","Poland","36"
"SEYED MOHAMMAD MOUSAVI ERAGHI","Mohammad Mousavi (volleyball)","https://en.wikipedia.org/wiki/Mohammad_Mousavi_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/1/1b/Mohammad_Mousavi_during_a_volleyball_match_between_Iran_and_the_United_States.jpg","22/08/1987","200 cm","Middle Blocker","Iran","37"
"Amir Ghafour","Amir Ghafour","https://en.wikipedia.org/wiki/Amir_Ghafour","https://upload.wikimedia.org/wikipedia/commons/8/85/Amir_Ghafour3.jpg","06/06/1991","202 cm","Opposite Hitter","Iran","33"
"Saber Kazemi","Saber Kazemi","https://en.wikipedia.org/wiki/Saber_Kazemi","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Saber_Kazemi_vs_Bulgaria%2C_2021_FIVB_Volleyball_Men%27s_Nations_League.jpg/500px-Saber_Kazemi_vs_Bulgaria%2C_2021_FIVB_Volleyball_Men%27s_Nations_League.jpg","24/12/1998","205 cm","Opposite Spiker","Iran","26"
"KAMIL SEMENIUK","Kamil Semeniuk","https://en.wikipedia.org/wiki/Kamil_Semeniuk","https://upload.wikimedia.org/wikipedia/commons/d/da/Kamil_Semeniuk_%28Legavolley_2022%29.png","16/07/1996","194 cm","Outside Hitter","Poland","28"
"Piotr Nowakowski","Piotr Nowakowski","https://en.wikipedia.org/wiki/Piotr_Nowakowski","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Piotr_Nowakowski_%289290652903%29.jpg/500px-Piotr_Nowakowski_%289290652903%29.jpg","18/12/1987","205 cm","Middle Blocker","Poland","37"
"Morteza Sharifi","Morteza Sharifi","https://en.wikipedia.org/wiki/Morteza_Sharifi","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Morteza_Sharifi_%28Legavolley_2019%29.jpg/500px-Morteza_Sharifi_%28Legavolley_2019%29.jpg","27/05/1999","193 cm","Outside Hitter","Iran","25"
"Earvin Ngapeth","Earvin N'Gapeth","https://en.wikipedia.org/wiki/Earvin_N'Gapeth","https://upload.wikimedia.org/wikipedia/commons/7/71/Earvin_Ngapeth_%28Legavolley_2017%29.jpg","12/02/1991","194 cm","Outside Hitter","France","34"
"Erik Shoji","Erik Shoji","https://en.wikipedia.org/wiki/Erik_Shoji","https://upload.wikimedia.org/wikipedia/commons/b/b3/Erik_Thomas_Shoji_%28Legavolley_2018%29.jpg","24/08/1989","184 cm","Libero","United States","35"
"Micah Christenson","Micah Christenson","https://en.wikipedia.org/wiki/Micah_Christenson","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Micah_Christenson_%28Legavolley_2019%29.jpg/500px-Micah_Christenson_%28Legavolley_2019%29.jpg","08/05/1993","198 cm","Setter","United States","31"
"Matt Anderson (volleyball)","Matt Anderson (volleyball)","https://en.wikipedia.org/wiki/Matt_Anderson_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/c/c6/Matthew_Anderson_%28Legavolley_2021%29.png","18/04/1987","202 cm","Outside Hitter","United States","37"
"Jean Patry","Jean Patry","https://en.wikipedia.org/wiki/Jean_Patry","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Jean_Patry_2024.03.24_01_%28cropped%29.jpg/500px-Jean_Patry_2024.03.24_01_%28cropped%29.jpg","27/12/1996","207 cm","Opposite Hitter","France","28"
"Jenia Grebennikov","Jenia Grebennikov","https://en.wikipedia.org/wiki/Jenia_Grebennikov","https://upload.wikimedia.org/wikipedia/commons/6/66/Jenia_Grebennikov_%28Legavolley_2019%29.jpg","13/08/1990","188 cm","Libero","France","34"
"Maxwell Holt","Maxwell Holt","https://en.wikipedia.org/wiki/Maxwell_Holt","https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Maxwell_Philip_Holt_%28Legavolley_2019%29.jpg/500px-Maxwell_Philip_Holt_%28Legavolley_2019%29.jpg","12/03/1987","205 cm","Middle Blocker","United States","38"
"Taylor Sander","Taylor Sander","https://en.wikipedia.org/wiki/Taylor_Sander","https://upload.wikimedia.org/wikipedia/commons/6/62/Taylor_Sander_%28Legavolley_2018%29.jpg","17/03/1992","196 cm","Outside Hitter","United States","33"
"Benjamin Toniutti","Benjamin Toniutti","https://en.wikipedia.org/wiki/Benjamin_Toniutti","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Benjamin_Toniutti2.JPG/500px-Benjamin_Toniutti2.JPG","30/10/1989","183 cm","Setter","France","35"
"Torey DeFalco","TJ DeFalco","https://en.wikipedia.org/wiki/TJ_DeFalco","https://upload.wikimedia.org/wikipedia/commons/c/c8/Torey_DeFalco_%28Legavolley_2019%29.png","10/04/1997","198 cm","Outside Hitter","United States","27"
"David Smith (volleyball)","David Smith (volleyball)","https://en.wikipedia.org/wiki/David_Smith_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Paris_Volley_vs_Tours_Volley_Ball_-_Championnat_de_France_-_27_avril_2016_-_16.JPG/500px-Paris_Volley_vs_Tours_Volley_Ball_-_Championnat_de_France_-_27_avril_2016_-_16.JPG","15/05/1985","201 cm","Middle Blocker","United States","39"
"Nicolas le Le Goff","Nicolas Le Goff","https://en.wikipedia.org/wiki/Nicolas_Le_Goff","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Nicolas_Le_Goff2.JPG/500px-Nicolas_Le_Goff2.JPG","15/02/1992","206 cm","Middle Blocker","France","33"
"Antoine Brizard","Antoine Brizard","https://en.wikipedia.org/wiki/Antoine_Brizard","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Il_Presidente_della_Repubblica_Sergio_Mattarella_in_occasione_della_premiazione_della_squadra_di_Piacenza%2C_vincitrice_della_Coppa_Italia_di_pallavolo_maschile_serie_A1_2023.jpg/500px-thumbnail.jpg","22/05/1994","194 cm","Setter","France","30"
"Julien Lyneel","Julien Lyneel","https://en.wikipedia.org/wiki/Julien_Lyneel","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Julien_Lyneel2.JPG/500px-Julien_Lyneel2.JPG","15/04/1990","192 cm","Outside Hitter","France","34"
"Yacine Louati","Yacine Louati","https://en.wikipedia.org/wiki/Yacine_Louati","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Yacine_Louati_%28Legavolley_2019%29.jpg/500px-Yacine_Louati_%28Legavolley_2019%29.jpg","04/03/1992","198 cm","Outside Hitter","France","33"
"Masoud Gholami","Masoud Gholami","https://en.wikipedia.org/wiki/Masoud_Gholami","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","02/04/1991","200 cm","Middle Blocker","Iran","33"
"Karimisouchelmaei Javad","Javad Karimi","https://en.wikipedia.org/wiki/Javad_Karimi","https://upload.wikimedia.org/wikipedia/commons/8/8c/Javad_Karimisouchelmaei.jpg","01/03/1998","204 cm","Setter","Iran","27"
"Victor Poletaev","Viktor Poletaev","https://en.wikipedia.org/wiki/Viktor_Poletaev","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","27/07/1995","197 cm","Opposite Hitter","Russia","29"
"Thomas Jaeschke","Thomas Jaeschke","https://en.wikipedia.org/wiki/Thomas_Jaeschke","https://upload.wikimedia.org/wikipedia/commons/3/30/Thomas_Jaeschke_%28Legavolley_2018%29.jpg","04/09/1993","198 cm","Outside Hitter","United States","31"
"Garrett Muagututia","Garrett Muagututia","https://en.wikipedia.org/wiki/Garrett_Muagututia","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Muagututia.jpg/500px-Muagututia.jpg","26/02/1988","196 cm","Outside Hitter","United States","37"
"Mitchell Stahl","Mitchell Stahl","https://en.wikipedia.org/wiki/Mitchell_Stahl","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","31/08/1994","203 cm","Middle Blocker","United States","30"
"LEE HAKU","Haku Ri","https://en.wikipedia.org/wiki/Haku_Ri","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","27/09/1990","194 cm","Middle Blocker","Japan","34"
"Tatsunori Otsuka","Tatsunori Otsuka","https://en.wikipedia.org/wiki/Tatsunori_Otsuka","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","05/11/2000","195 cm","Outside Hitter","Japan","24"
"Mehdi Ben Cheikh","Mehdi Ben Cheikh","https://en.wikipedia.org/wiki/Mehdi_Ben_Cheikh","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Mehdi_Ben_Cheikh_photo10_%D9%85%D9%87%D8%AF%D9%8A_%D8%A8%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE.jpg/500px-Mehdi_Ben_Cheikh_photo10_%D9%85%D9%87%D8%AF%D9%8A_%D8%A8%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE.jpg","13/05/1979","183 cm","Setter","Tunisia","45"
"Arman Salehi","Arman Salehi","https://en.wikipedia.org/wiki/Arman_Salehi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","29/10/1992","180 cm","Libero","Iran","32"
"Ilyas Kurkaev","Ilyas Kurkaev","https://en.wikipedia.org/wiki/Ilyas_Kurkaev","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","18/01/1994","208 cm","Middle Blocker","Russia","31"
"Daryl Bultor","Daryl Bultor","https://en.wikipedia.org/wiki/Daryl_Bultor","https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Paris_Volley_-_Tourcoing_Lille_M%C3%A9tropole_Volley-Ball%2C_Championnat_de_France_-_6_octobre_2020_-_53_%28cropped%29.jpg/500px-Paris_Volley_-_Tourcoing_Lille_M%C3%A9tropole_Volley-Ball%2C_Championnat_de_France_-_6_octobre_2020_-_53_%28cropped%29.jpg","17/11/1995","198 cm","Middle Blocker","France","29"
"Marcin Komenda","Marcin Komenda","https://en.wikipedia.org/wiki/Marcin_Komenda","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Marcin_Komenda_2024.05.29_07_%28cropped%29.jpg/500px-Marcin_Komenda_2024.05.29_07_%28cropped%29.jpg","24/05/1996","198 cm","Setter","Poland","28"
"Maique Reis Nascimento","Maique Nascimento","https://en.wikipedia.org/wiki/Maique_Nascimento","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","16/07/1997","182 cm","Libero","Brazil","27"
"Ismail Moalla","Ismaïl Moalla","https://en.wikipedia.org/wiki/Isma%C3%AFl_Moalla","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","30/01/1990","195 cm","Outside Hitter","Tunisia","35"
"Mauricio Borges Almeida Silva","Maurício Borges Silva","https://en.wikipedia.org/wiki/Maur%C3%ADcio_Borges_Silva","https://upload.wikimedia.org/wikipedia/commons/1/12/Mauricio_Borges_Silva_Rio_2016.jpg","04/02/1989","200 cm","Outside Hitter","Brazil","36"
"Agustin Loser","Agustín Loser","https://en.wikipedia.org/wiki/Agust%C3%ADn_Loser","https://upload.wikimedia.org/wikipedia/commons/a/a3/Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%288%29.jpg","12/10/1997","193 cm","Middle Blocker","Argentina","27"
"Matías Sánchez (volleyball)","Matías Sánchez (volleyball)","https://en.wikipedia.org/wiki/Mat%C3%ADas_S%C3%A1nchez_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/4/49/Mat%C3%ADas_S%C3%A1nchez_2024.03.24_17_%28cropped%29.jpg","01/01/1996","173 cm","Setter","Argentina","29"
"Jose Verdi","José Verdi","https://en.wikipedia.org/wiki/Jos%C3%A9_Verdi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","06/02/1990","196 cm","Middle Blocker","Venezuela","35"
"Willner Enrique Rivas Quijada","Willner Rivas","https://en.wikipedia.org/wiki/Willner_Rivas","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","02/04/1995","194 cm","Outside Hitter","Venezuela","29"
"Armando Velásquez","Armando Velásquez","https://en.wikipedia.org/wiki/Armando_Vel%C3%A1squez","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1988","185 cm","Setter","Venezuela","37"
"Emerson Alexander Rodriguez Gonzalez","Emerson Rodríguez (volleyball)","https://en.wikipedia.org/wiki/Emerson_Rodr%C3%ADguez_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","02/02/1993","202 cm","Opposite Spiker","Venezuela","32"
"Ronald Fayola","Ronald Fayola","https://en.wikipedia.org/wiki/Ronald_Fayola","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1995","198 cm","Outside Hitter","Venezuela","30"
"Edson Alberto valencia Gonzalez","Edson Valencia","https://en.wikipedia.org/wiki/Edson_Valencia","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","02/12/1987","200 cm","Opposite","Venezuela","37"
"Hector Mata","Héctor Mata","https://en.wikipedia.org/wiki/H%C3%A9ctor_Mata","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","27/01/1991","179 cm","Libero","Venezuela","34"
"Luis Arias (volleyball)","Luis Arias (volleyball)","https://en.wikipedia.org/wiki/Luis_Arias_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","17/01/1989","196 cm","Opposite","Venezuela","36"
"Robert Oramas","Robert Oramas","https://en.wikipedia.org/wiki/Robert_Oramas","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1984","200 cm","Middle Blocker","Venezuela","41"
"Aleksander Sliwka","Aleksander Śliwka","https://en.wikipedia.org/wiki/Aleksander_%C5%9Aliwka","https://upload.wikimedia.org/wikipedia/commons/b/bb/Aleksander_Sliwka_2018.jpg","24/05/1995","196 cm","Outside Hitter","Poland","29"
"MEISAM SALEHI","Meisam Salehi","https://en.wikipedia.org/wiki/Meisam_Salehi","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","17/11/1998","198 cm","Outside Hitter","Iran","26"
"Jakub Kochanowski","Jakub Kochanowski","https://en.wikipedia.org/wiki/Jakub_Kochanowski","https://upload.wikimedia.org/wikipedia/commons/2/28/Volleyball_Nations_League_Poland_-_France_%2842450042692%29_%28cropped%29.jpg","17/07/1997","199 cm","Middle Blocker","Poland","27"
"Pawel Zatorski","Paweł Zatorski","https://en.wikipedia.org/wiki/Pawe%C5%82_Zatorski","https://upload.wikimedia.org/wikipedia/commons/8/8a/Pawe%C5%82_Zatorski_2013_02.jpg","21/06/1990","184 cm","Libero","Poland","34"
"Grzegorz Lomacz","Grzegorz Łomacz","https://en.wikipedia.org/wiki/Grzegorz_%C5%81omacz","https://upload.wikimedia.org/wikipedia/commons/1/14/Grzegorz_%C5%81omacz_2010-05-30.jpg","01/10/1987","187 cm","Setter","Poland","37"
"Lukasz Kaczmarek","Łukasz Kaczmarek","https://en.wikipedia.org/wiki/%C5%81ukasz_Kaczmarek","https://upload.wikimedia.org/wikipedia/commons/a/a6/%C5%81ukasz_Kaczmarek_%28volleyball_player%29_.jpg","29/06/1994","204 cm","Opposite Hitter","Poland","30"
"Kevin Tillie","Kévin Tillie","https://en.wikipedia.org/wiki/K%C3%A9vin_Tillie","https://upload.wikimedia.org/wikipedia/commons/6/65/Kevin_Tillie_AVCA_All_American_Banquet_2013.jpg","02/11/1990","198 cm","Outside Hitter","France","34"
"Barthelemy Chinenyeze","Barthélémy Chinenyeze","https://en.wikipedia.org/wiki/Barth%C3%A9l%C3%A9my_Chinenyeze","https://upload.wikimedia.org/wikipedia/commons/0/0d/Barth%C3%A9l%C3%A9my_Chinenyeze_2018.jpg","28/02/1998","204 cm","Middle Blocker","France","27"
"Stephen Boyer","Stéphen Boyer","https://en.wikipedia.org/wiki/St%C3%A9phen_Boyer","https://upload.wikimedia.org/wikipedia/commons/7/79/St%C3%A9phen_Boyer_in_a_match_against_Portugal.jpg","10/04/1996","196 cm","Opposite Hitter","France","28"
"Trevor Clevenot","Trévor Clévenot","https://en.wikipedia.org/wiki/Tr%C3%A9vor_Cl%C3%A9venot","https://upload.wikimedia.org/wikipedia/commons/1/1f/Tr%C3%A9vor_Clevenot_%C3%A0_Piacenza_-_2017.png","28/06/1994","199 cm","Outside Hitter","France","30"
"Michal Kubiak","Michał Kubiak","https://en.wikipedia.org/wiki/Micha%C5%82_Kubiak","https://upload.wikimedia.org/wikipedia/commons/7/7b/Volleyball_Nations_League_Poland_-_France_%2828628996908%29.jpg","23/02/1988","192 cm","Outside Hitter","Poland","37"
"Mauricio Luiz De Souza","Maurício Souza (volleyball)","https://en.wikipedia.org/wiki/Maur%C3%ADcio_Souza_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/4/47/Maur%C3%ADcio_Souza_Rio_2016.jpg","29/09/1988","207 cm","Middle Blocker","Brazil","36"
"Selim Mbareki","Selim Mbareki","https://en.wikipedia.org/wiki/Selim_Mbareki","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","06/03/1996","198 cm","Middle Blocker","Tunisia","29"
"Eliecer Canelo","Eliécer Canelo","https://en.wikipedia.org/wiki/Eli%C3%A9cer_Canelo","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1998","196 cm","Outside Hitter","Venezuela","27"
"Ronald Daniel Fayola HURTADO","Ronald Fayola","https://en.wikipedia.org/wiki/Ronald_Fayola","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1995","198 cm","Outside Hitter","Venezuela","30"
"Jose Manuel Carrasco ANGULO","José Carrasco (volleyball)","https://en.wikipedia.org/wiki/Jos%C3%A9_Carrasco_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","20/05/1989","195 cm","Setter","Venezuela","35"
"Luis Antonio Arias GUZMAN","Luis Arias (volleyball)","https://en.wikipedia.org/wiki/Luis_Arias_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","17/01/1989","196 cm","Opposite","Venezuela","36"
"Robert  Manuel Oramas BRIZUELA","Robert Oramas","https://en.wikipedia.org/wiki/Robert_Oramas","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1984","200 cm","Middle Blocker","Venezuela","41"
"Eliecer Alfonso Canelo SANCHEZ","Eliécer Canelo","https://en.wikipedia.org/wiki/Eli%C3%A9cer_Canelo","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1998","196 cm","Oustide Hitter","Venezuela","27"
"Velazquez ESCALANTE Armando Fernan","Armando Velásquez","https://en.wikipedia.org/wiki/Armando_Vel%C3%A1squez","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","01/01/1988","185 cm","Setter","Venezuela","37"
"Federico Pereyra","Federico Pereyra (volleyball)","https://en.wikipedia.org/wiki/Federico_Pereyra_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/6/69/Federico_Pereyra_-_Volleyball_at_the_2020_Summer_Olympics_-_Argentina_%28men%29_%28cropped%29.jpg","19/06/1988","200 cm","Opposite","Argentina","36"
"Jose Carrasco","José Carrasco (volleyball)","https://en.wikipedia.org/wiki/Jos%C3%A9_Carrasco_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","20/05/1989","195 cm","Setter","Venezuela","35"
"Fernando Gonzalez","Fernando González (volleyball)","https://en.wikipedia.org/wiki/Fernando_Gonz%C3%A1lez_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","30/06/1989","194 cm","Outside Hitter","Venezuela","35"
"Martin Ramos","Martín Ramos","https://en.wikipedia.org/wiki/Mart%C3%ADn_Ramos","https://upload.wikimedia.org/wikipedia/commons/e/ed/Selecci%C3%B3n_de_Voley_Argentina_previo_a_Paris_2024_-_BugWarp_%2810%29_%28Mart%C3%ADn_Ramos%29.jpg","26/08/1991","198 cm","Middle Blocker","Argentina","33"
"Yassin Kassis","Absent","Absent","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","20/10/1996","183 cm","Libero","Tunisia","28"
"Chema Chema","José Carrasco (volleyball)","https://en.wikipedia.org/wiki/Jos%C3%A9_Carrasco_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","20/05/1989","195 cm","Setter","Venezuela","35"
"Maita Maita","Luis Arias (volleyball)","https://en.wikipedia.org/wiki/Luis_Arias_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","17/01/1989","196 cm","Opposite","Venezuela","36"
"Denis Bogdan","Denis Bogdan","https://en.wikipedia.org/wiki/Denis_Bogdan","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","13/10/1996","200 cm","Outside Hitter","Russia","28"
